REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
REGION1,CZBFHPFH1,CZE1,1,2021,1.0
REGION1,CZBFCHPH1,CZE1,1,2021,1.0
REGION1,CZDGCHPH1,CZE1,1,2021,1.0
REGION1,CZRGCHPH1,CZE1,1,2021,1.0
REGION1,CZDSCHPH1,CZE1,1,2021,1.0
REGION1,CZDSGCPH1,CZE1,1,2021,1.0
REGION1,CZHFCHPH1,CZE1,1,2021,1.0
REGION1,CZHFSTPH1,CZE1,1,2021,1.0
REGION1,CZBMSTPH1,CZE1,1,2021,1.0
REGION1,CZBMCHPH1,CZE1,1,2021,1.0
REGION1,CZWSCHPH1,CZE1,1,2021,1.0
REGION1,CZWIONPH1,CZE1,1,2021,1.0
REGION1,CZSOUTPH1,CZE1,1,2021,1.0
REGION1,CZHYDRPH1,CZE1,1,2021,1.0
REGION1,CZHYDMPH1,CZE1,1,2021,1.0
REGION1,DENUG2PH1,DEE1,1,2021,1.0
REGION1,DECOCHPH1,DEE1,1,2021,1.0
REGION1,DECOSTPH1,DEE1,1,2021,1.0
REGION1,DELICHPH1,DEE1,1,2021,1.0
REGION1,DELIELH1,DEE1,1,2021,1.0
REGION1,DENGCCPH1,DEE1,1,2021,1.0
REGION1,DENGCHPH1,DEE1,1,2021,1.0
REGION1,DEBFHPFH1,DEE1,1,2021,1.0
REGION1,DEBFCHPH1,DEE1,1,2021,1.0
REGION1,DEDGCHPH1,DEE1,1,2021,1.0
REGION1,DEDGELH1,DEE1,1,2021,1.0
REGION1,DERGCHPH1,DEE1,1,2021,1.0
REGION1,DERGELH1,DEE1,1,2021,1.0
REGION1,DEDSCHPH1,DEE1,1,2021,1.0
REGION1,DEDSELH1,DEE1,1,2021,1.0
REGION1,DEHFCHPH1,DEE1,1,2021,1.0
REGION1,DEHFSTPH1,DEE1,1,2021,1.0
REGION1,DEBMCHPH1,DEE1,1,2021,1.0
REGION1,DEBMSTPH1,DEE1,1,2021,1.0
REGION1,DEWSCHPH1,DEE1,1,2021,1.0
REGION1,DEWSSTPH1,DEE1,1,2021,1.0
REGION1,DEWIOFPH1,DEE1,1,2021,1.0
REGION1,DEWIONPH1,DEE1,1,2021,1.0
REGION1,DESOUTPH1,DEE1,1,2021,1.0
REGION1,DEGOCVPH1,DEE1,1,2021,1.0
