REGION,FUEL,TIMESLICE,YEAR,VALUE
REGION1,SIE3,S1P1,2021,0.0732801654949041
REGION1,SIE3,S1P2,2021,0.127889507178862
REGION1,SIE3,S1P3,2021,0.0515225048586129
REGION1,SIE3,S1P4,2021,0.0314355711526465
REGION1,SIE3,S2P1,2021,0.0689920371137021
REGION1,SIE3,S2P2,2021,0.108833653695118
REGION1,SIE3,S2P3,2021,0.046521023512535
REGION1,SIE3,S2P4,2021,0.028101591667053
REGION1,SIE3,S3P1,2021,0.0618025820502833
REGION1,SIE3,S3P2,2021,0.0948997606774947
REGION1,SIE3,S3P3,2021,0.0390311182275259
REGION1,SIE3,S3P4,2021,0.0237316152860862
REGION1,SIE3,S4P1,2021,0.0651071926410438
REGION1,SIE3,S4P2,2021,0.107928886793716
REGION1,SIE3,S4P3,2021,0.0444196782818608
REGION1,SIE3,S4P4,2021,0.0265031113685536
REGION1,SKE3,S1P1,2021,0.0702677443065503
REGION1,SKE3,S1P2,2021,0.122616113658336
REGION1,SKE3,S1P3,2021,0.0473774044197124
REGION1,SKE3,S1P4,2021,0.0302130132036444
REGION1,SKE3,S2P1,2021,0.067717625698495
REGION1,SKE3,S2P2,2021,0.111370011143056
REGION1,SKE3,S2P3,2021,0.0437997558860083
REGION1,SKE3,S2P4,2021,0.0277791230463899
REGION1,SKE3,S3P1,2021,0.0610167884879519
REGION1,SKE3,S3P2,2021,0.104567801872804
REGION1,SKE3,S3P3,2021,0.0400155972659289
REGION1,SKE3,S3P4,2021,0.0254161501203374
REGION1,SKE3,S4P1,2021,0.0654888646027587
REGION1,SKE3,S4P2,2021,0.111910599814445
REGION1,SKE3,S4P3,2021,0.0433550398398457
REGION1,SKE3,S4P4,2021,0.0270883666337335
REGION1,UKE3,S1P1,2021,0.0547523880301077
REGION1,UKE3,S1P2,2021,0.12064368911246
REGION1,UKE3,S1P3,2021,0.055347736992553
REGION1,UKE3,S1P4,2021,0.0344932277267653
REGION1,UKE3,S2P1,2021,0.0565499921164678
REGION1,UKE3,S2P2,2021,0.12114122306489
REGION1,UKE3,S2P3,2021,0.0551465672368222
REGION1,UKE3,S2P4,2021,0.0358075537219709
REGION1,UKE3,S3P1,2021,0.051818283344419
REGION1,UKE3,S3P2,2021,0.106294000226763
REGION1,UKE3,S3P3,2021,0.0398120250633566
REGION1,UKE3,S3P4,2021,0.0227973475999886
REGION1,UKE3,S4P1,2021,0.0514960977982641
REGION1,UKE3,S4P2,2021,0.115727933589938
REGION1,UKE3,S4P3,2021,0.0500099517562557
REGION1,UKE3,S4P4,2021,0.028161982618976
REGION1,AOE3,S1P1,2021,0.0672990144065966
REGION1,AOE3,S1P2,2021,0.1126966722519701
REGION1,AOE3,S1P3,2021,0.0476104573403078
REGION1,AOE3,S1P4,2021,0.0284491103157085
REGION1,AOE3,S2P1,2021,0.0634493233965843
REGION1,AOE3,S2P2,2021,0.106977098774312
REGION1,AOE3,S2P3,2021,0.0468581366142969
REGION1,AOE3,S2P4,2021,0.0267503271681969
REGION1,AOE3,S3P1,2021,0.0614388340910892
REGION1,AOE3,S3P2,2021,0.1052306203527302
REGION1,AOE3,S3P3,2021,0.046695777552799
REGION1,AOE3,S3P4,2021,0.0259217633945587
REGION1,AOE3,S4P1,2021,0.0671470288739377
