REGION,TECHNOLOGY,VALUE
REGION1,DEBMCHPN1,31.536
REGION1,DEBMSTPN1,31.536
REGION1,DEWSCHPN1,31.536
REGION1,DEWSSTPN1,31.536
REGION1,DEWIOFPN1,31.536
REGION1,DEWIONPN1,31.536
REGION1,DESOUTPN1,31.536
REGION1,DEGOCVPN1,31.536
REGION1,DEHYDMPN1,31.536
REGION1,DEHYDRPN1,31.536
REGION1,DEHYDSPN1,31.536
REGION1,DKBFHPFN1,31.536
REGION1,DKBMSTPN1,31.536
REGION1,DKCOCHPN1,31.536
REGION1,DKHFCHPN1,31.536
REGION1,DKHFSTPN1,31.536
REGION1,DKHYDRPN1,31.536
REGION1,DKNGCCPN1,31.536
REGION1,DKNGCHPN1,31.536
REGION1,DKSOUTPN1,31.536
REGION1,DKWIOFPN1,31.536
REGION1,DKWIONPN1,31.536
REGION1,DKWSCHPN1,31.536
REGION1,DKRGCHPN1,31.536
REGION1,DKDSCHPN1,31.536
REGION1,DKDSELN1,31.536
REGION1,DKBMCHPN1,31.536
REGION1,DKHYDMPN1,31.536
REGION1,EEHFSTPN1,31.536
REGION1,EEHYDRPN1,31.536
REGION1,EENGCHPN1,31.536
REGION1,EENGHPFN1,31.536
REGION1,EESOUTPN1,31.536
REGION1,EEWIONPN1,31.536
REGION1,EEWSCHPN1,31.536
REGION1,EELICHPN1,31.536
REGION1,EELIELN1,31.536
REGION1,EEBFCHPN1,31.536
REGION1,EEDGCHPN1,31.536
REGION1,EEDGELN1,31.536
REGION1,EEBMCHPN1,31.536
REGION1,EEBMSTPN1,31.536
REGION1,GRBFHPFN1,31.536
REGION1,GRBMSTPN1,31.536
REGION1,GRHFCHPN1,31.536
REGION1,GRHFSTPN1,31.536
REGION1,GRHYDMPN1,31.536
REGION1,GRHYDRPN1,31.536
REGION1,GRHYDSPN1,31.536
REGION1,GRNGCCPN1,31.536
REGION1,GRNGCHPN1,31.536
REGION1,GRSOUTPN1,31.536
REGION1,GRWIONPN1,31.536
REGION1,GRLICHPN1,31.536
REGION1,GRLIELN1,31.536
REGION1,GRBFCHPN1,31.536
REGION1,GRRGCHPN1,31.536
REGION1,GRDSCHPN1,31.536
